,SourceFile,FileName,ImageWidth,ImageHeight,CreateDate,PictureDirectory,R,G,B,Pct,Timestamp,Hours,Date,Day,Month
27,20190420/IMAG0028.JPG,IMAG0028.JPG,3648,2736,2019:03:27 12:15:45,C:/Users/branc/Desktop/New folder (3)/Snow,0.794994972,0.827819884,0.829627325,0.312,3/27/2019 12:15,12,3/27/2019,27,3
28,20190420/IMAG0029.JPG,IMAG0029.JPG,3648,2736,2019:03:27 12:16:06,C:/Users/branc/Desktop/New folder (3)/Snow,0.812632041,0.834829739,0.831444096,0.2905,3/27/2019 12:16,12,3/27/2019,27,3
29,20190420/IMAG0030.JPG,IMAG0030.JPG,3648,2736,2019:03:27 12:16:17,C:/Users/branc/Desktop/New folder (3)/Snow,0.804015324,0.835041301,0.82858122,0.30325,3/27/2019 12:16,12,3/27/2019,27,3
30,20190420/IMAG0031.JPG,IMAG0031.JPG,3648,2736,2019:03:27 12:16:29,C:/Users/branc/Desktop/New folder (3)/Snow,0.797970724,0.826829394,0.816512303,0.28485,3/27/2019 12:16,12,3/27/2019,27,3
31,20190420/IMAG0032.JPG,IMAG0032.JPG,3648,2736,2019:03:27 12:16:57,C:/Users/branc/Desktop/New folder (3)/Snow,0.80954231,0.834302988,0.834822957,0.3013,3/27/2019 12:16,12,3/27/2019,27,3
32,20190420/IMAG0033.JPG,IMAG0033.JPG,3648,2736,2019:03:27 12:17:09,C:/Users/branc/Desktop/New folder (3)/Snow,0.78853455,0.832175355,0.821993771,0.31385,3/27/2019 12:17,12,3/27/2019,27,3
33,20190420/IMAG0034.JPG,IMAG0034.JPG,3648,2736,2019:03:27 12:17:28,C:/Users/branc/Desktop/New folder (3)/Snow,0.80470705,0.836183378,0.830479397,0.3023,3/27/2019 12:17,12,3/27/2019,27,3
34,20190420/IMAG0035.JPG,IMAG0035.JPG,3648,2736,2019:03:27 12:17:41,C:/Users/branc/Desktop/New folder (3)/Snow,0.788035718,0.830552984,0.820411634,0.2859,3/27/2019 12:17,12,3/27/2019,27,3
35,20190420/IMAG0036.JPG,IMAG0036.JPG,3648,2736,2019:03:27 12:17:52,C:/Users/branc/Desktop/New folder (3)/Snow,0.768106337,0.812528125,0.81100821,0.31155,3/27/2019 12:17,12,3/27/2019,27,3
36,20190420/IMAG0037.JPG,IMAG0037.JPG,3648,2736,2019:03:27 12:18:07,C:/Users/branc/Desktop/New folder (3)/Snow,0.800425151,0.830367527,0.834916573,0.29655,3/27/2019 12:18,12,3/27/2019,27,3
37,20190420/IMAG0038.JPG,IMAG0038.JPG,3648,2736,2019:03:27 12:18:19,C:/Users/branc/Desktop/New folder (3)/Snow,0.799681046,0.830088889,0.825163399,0.3,3/27/2019 12:18,12,3/27/2019,27,3
38,20190420/IMAG0039.JPG,IMAG0039.JPG,3648,2736,2019:03:27 12:18:31,C:/Users/branc/Desktop/New folder (3)/Snow,0.811206017,0.84281292,0.837330782,0.292,3/27/2019 12:18,12,3/27/2019,27,3
