"","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate","PictureDirectory","R","G","B","Pct"
"2807","20190822/IMAG0103.JPG","IMAG0103.JPG",3648,2736,"2019:08:17 03:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.513556266784383,0.504955302946691,0.410417049871859,0.1599
"2808","20190822/IMAG0104.JPG","IMAG0104.JPG",3648,2736,"2019:08:17 05:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.7422084623323,0.826817792237321,0.780902905319129,0.05605
"2809","20190822/IMAG0105.JPG","IMAG0105.JPG",3648,2736,"2019:08:17 07:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.858671876004068,0.893032082835323,0.818245532864672,0.22885
"2810","20190822/IMAG0106.JPG","IMAG0106.JPG",3648,2736,"2019:08:17 09:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.828461044702008,0.849950950114453,0.79747605033366,0.08095
"2811","20190822/IMAG0107.JPG","IMAG0107.JPG",3648,2736,"2019:08:17 10:24:55","C:/Users/branc/Desktop/New folder (3)/Snow",0.719483101391652,0.705246949674503,0.623769799503636,0.3018
"2812","20190822/IMAG0108.JPG","IMAG0108.JPG",3648,2736,"2019:08:17 10:27:06","C:/Users/branc/Desktop/New folder (3)/Snow",0.719269821749842,0.722007176854484,0.633513242695455,0.30135
"2813","20190822/IMAG0109.JPG","IMAG0109.JPG",3648,2736,"2019:08:17 10:27:51","C:/Users/branc/Desktop/New folder (3)/Snow",0.736088311953801,0.720583976422886,0.619954685610132,0.28775
"2814","20190822/IMAG0110.JPG","IMAG0110.JPG",3648,2736,"2019:08:17 10:30:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.736690399221294,0.72599284442318,0.636129477525696,0.30115
"2815","20190822/IMAG0111.JPG","IMAG0111.JPG",3648,2736,"2019:08:17 10:30:38","C:/Users/branc/Desktop/New folder (3)/Snow",0.727770381129133,0.721427418704104,0.615875897684184,0.2916
"2816","20190822/IMAG0112.JPG","IMAG0112.JPG",3648,2736,"2019:08:17 10:32:35","C:/Users/branc/Desktop/New folder (3)/Snow",0.72494948724792,0.712842946640747,0.625356766167263,0.3086
"2817","20190822/IMAG0113.JPG","IMAG0113.JPG",3648,2736,"2019:08:17 10:35:29","C:/Users/branc/Desktop/New folder (3)/Snow",0.72785665990535,0.70546593113559,0.614458493677853,0.3103
"2818","20190822/IMAG0114.JPG","IMAG0114.JPG",3648,2736,"2019:08:17 10:38:03","C:/Users/branc/Desktop/New folder (3)/Snow",0.727258759455771,0.718523167853338,0.623810551229499,0.2999
"2819","20190822/IMAG0115.JPG","IMAG0115.JPG",3648,2736,"2019:08:17 10:45:51","C:/Users/branc/Desktop/New folder (3)/Snow",0.706584841249481,0.702348863060818,0.615196900632113,0.2981
"2820","20190822/IMAG0116.JPG","IMAG0116.JPG",3648,2736,"2019:08:17 10:52:39","C:/Users/branc/Desktop/New folder (3)/Snow",0.730608039725354,0.721262095629184,0.629587965895609,0.2693
"2821","20190822/IMAG0117.JPG","IMAG0117.JPG",3648,2736,"2019:08:17 11:24:09","C:/Users/branc/Desktop/New folder (3)/Snow",0.772824818649891,0.783750703777139,0.694555008853319,0.12015
"2822","20190822/IMAG0118.JPG","IMAG0118.JPG",3648,2736,"2019:08:17 13:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.761693865771102,0.776397124416215,0.68106470063494,0.2242
"2823","20190822/IMAG0119.JPG","IMAG0119.JPG",3648,2736,"2019:08:17 15:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.771546996022608,0.791616774823806,0.710503105156658,0.1405
"2824","20190822/IMAG0120.JPG","IMAG0120.JPG",3648,2736,"2019:08:17 15:38:53","C:/Users/branc/Desktop/New folder (3)/Snow",0.836965426839265,0.865622371511287,0.823721666939758,0.08975
"2825","20190822/IMAG0121.JPG","IMAG0121.JPG",3648,2736,"2019:08:17 17:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.866973108609251,0.901192458863509,0.868210719546412,0.13245
"2826","20190822/IMAG0122.JPG","IMAG0122.JPG",3648,2736,"2019:08:17 19:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.557626360101818,0.519388268859613,0.420550474112613,0.1402
"2827","20190822/IMAG0123.JPG","IMAG0123.JPG",3648,2736,"2019:08:17 21:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.520853158519247,0.510232732997329,0.414821602697403,0.1669
"2828","20190822/IMAG0124.JPG","IMAG0124.JPG",3648,2736,"2019:08:17 23:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.498846897740867,0.491913537182298,0.399536036572571,0.17285
"2829","20190822/IMAG0125.JPG","IMAG0125.JPG",3648,2736,"2019:08:18 01:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.50219039850146,0.494024592888,0.400814526118616,0.16225
"2830","20190822/IMAG0126.JPG","IMAG0126.JPG",3648,2736,"2019:08:18 03:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.496377778579238,0.487988843606108,0.393815895456898,0.1631
"2831","20190822/IMAG0127.JPG","IMAG0127.JPG",3648,2736,"2019:08:18 05:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.703205395633431,0.823925740508969,0.802930746766793,0.0564
"2832","20190822/IMAG0128.JPG","IMAG0128.JPG",3648,2736,"2019:08:18 07:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.851508018305752,0.891292047859599,0.818310832877394,0.23115
"2833","20190822/IMAG0129.JPG","IMAG0129.JPG",3648,2736,"2019:08:18 09:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.752130728742261,0.753172418349588,0.665566248963088,0.2671
"2834","20190822/IMAG0130.JPG","IMAG0130.JPG",3648,2736,"2019:08:18 09:45:37","C:/Users/branc/Desktop/New folder (3)/Snow",0.771623523226324,0.773246427908699,0.684825570606794,0.2536
"2835","20190822/IMAG0131.JPG","IMAG0131.JPG",3648,2736,"2019:08:18 10:20:13","C:/Users/branc/Desktop/New folder (3)/Snow",0.762274999421072,0.754763346202335,0.658887708955697,0.29635
"2836","20190822/IMAG0132.JPG","IMAG0132.JPG",3648,2736,"2019:08:18 10:23:09","C:/Users/branc/Desktop/New folder (3)/Snow",0.757245837427267,0.743432017652689,0.65840206168515,0.29635
"2837","20190822/IMAG0133.JPG","IMAG0133.JPG",3648,2736,"2019:08:18 10:24:11","C:/Users/branc/Desktop/New folder (3)/Snow",0.745978286379326,0.74116553983457,0.648854039074232,0.30495
"2838","20190822/IMAG0134.JPG","IMAG0134.JPG",3648,2736,"2019:08:18 10:25:24","C:/Users/branc/Desktop/New folder (3)/Snow",0.71575966248,0.699599437466658,0.607598726217618,0.30325
"2839","20190822/IMAG0135.JPG","IMAG0135.JPG",3648,2736,"2019:08:18 10:27:10","C:/Users/branc/Desktop/New folder (3)/Snow",0.723583307668623,0.72058759367622,0.632129658145984,0.3056
"2840","20190822/IMAG0136.JPG","IMAG0136.JPG",3648,2736,"2019:08:18 10:29:28","C:/Users/branc/Desktop/New folder (3)/Snow",0.729663856565399,0.709965486675599,0.617147904368551,0.3119
"2841","20190822/IMAG0137.JPG","IMAG0137.JPG",3648,2736,"2019:08:18 10:32:10","C:/Users/branc/Desktop/New folder (3)/Snow",0.741192859624633,0.7225932700061,0.631978943366049,0.2991
"2842","20190822/IMAG0138.JPG","IMAG0138.JPG",3648,2736,"2019:08:18 10:32:32","C:/Users/branc/Desktop/New folder (3)/Snow",0.737798846519521,0.730678539366417,0.632218611384412,0.29595
"2843","20190822/IMAG0139.JPG","IMAG0139.JPG",3648,2736,"2019:08:18 10:35:02","C:/Users/branc/Desktop/New folder (3)/Snow",0.708338784476447,0.700964933691318,0.609695549589135,0.30125
"2844","20190822/IMAG0140.JPG","IMAG0140.JPG",3648,2736,"2019:08:18 10:35:28","C:/Users/branc/Desktop/New folder (3)/Snow",0.737587086746312,0.715041849780944,0.620781837814052,0.2851
"2845","20190822/IMAG0141.JPG","IMAG0141.JPG",3648,2736,"2019:08:18 10:35:54","C:/Users/branc/Desktop/New folder (3)/Snow",0.741281950505065,0.727777161918392,0.634663253685925,0.29185
"2846","20190822/IMAG0142.JPG","IMAG0142.JPG",3648,2736,"2019:08:18 10:37:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.745554604378137,0.723221637927518,0.630769230769237,0.2886
"2847","20190822/IMAG0143.JPG","IMAG0143.JPG",3648,2736,"2019:08:18 10:38:20","C:/Users/branc/Desktop/New folder (3)/Snow",0.742177805701727,0.735349092908196,0.647609885075531,0.2996
"2848","20190822/IMAG0144.JPG","IMAG0144.JPG",3648,2736,"2019:08:18 10:39:47","C:/Users/branc/Desktop/New folder (3)/Snow",0.75528971139019,0.74338526421806,0.658180845371862,0.3115
"2849","20190822/IMAG0145.JPG","IMAG0145.JPG",3648,2736,"2019:08:18 10:39:59","C:/Users/branc/Desktop/New folder (3)/Snow",0.726202419691282,0.714637296620774,0.617174801835634,0.29375
"2850","20190822/IMAG0146.JPG","IMAG0146.JPG",3648,2736,"2019:08:18 10:43:23","C:/Users/branc/Desktop/New folder (3)/Snow",0.705541654993419,0.706669371640922,0.610908130701789,0.30445
"2851","20190822/IMAG0147.JPG","IMAG0147.JPG",3648,2736,"2019:08:18 10:43:54","C:/Users/branc/Desktop/New folder (3)/Snow",0.725730906173211,0.718441402136299,0.621187168814676,0.29325
"2852","20190822/IMAG0148.JPG","IMAG0148.JPG",3648,2736,"2019:08:18 10:44:17","C:/Users/branc/Desktop/New folder (3)/Snow",0.721458928517347,0.712182975129294,0.611651641950762,0.29135
"2853","20190822/IMAG0149.JPG","IMAG0149.JPG",3648,2736,"2019:08:18 10:44:34","C:/Users/branc/Desktop/New folder (3)/Snow",0.706250871496585,0.713494419101876,0.615822393976222,0.2953
"2854","20190822/IMAG0150.JPG","IMAG0150.JPG",3648,2736,"2019:08:18 10:46:25","C:/Users/branc/Desktop/New folder (3)/Snow",0.697800588361555,0.704651338964435,0.619687385578835,0.3106
"2855","20190822/IMAG0151.JPG","IMAG0151.JPG",3648,2736,"2019:08:18 10:47:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.717222622849486,0.715159506885057,0.632040108512759,0.2855
"2856","20190822/IMAG0152.JPG","IMAG0152.JPG",3648,2736,"2019:08:18 10:50:44","C:/Users/branc/Desktop/New folder (3)/Snow",0.734555397101329,0.723738640740309,0.623063764525457,0.28255
"2857","20190822/IMAG0153.JPG","IMAG0153.JPG",3648,2736,"2019:08:18 10:53:42","C:/Users/branc/Desktop/New folder (3)/Snow",0.70485069049779,0.699584623780371,0.620077791797457,0.28205
"2858","20190822/IMAG0154.JPG","IMAG0154.JPG",3648,2736,"2019:08:18 10:55:33","C:/Users/branc/Desktop/New folder (3)/Snow",0.755423283312579,0.738015770734579,0.650476544126751,0.2693
"2859","20190822/IMAG0155.JPG","IMAG0155.JPG",3648,2736,"2019:08:18 10:56:53","C:/Users/branc/Desktop/New folder (3)/Snow",0.729401727784348,0.727065275836108,0.641275405957636,0.2735
"2860","20190822/IMAG0156.JPG","IMAG0156.JPG",3648,2736,"2019:08:18 10:57:10","C:/Users/branc/Desktop/New folder (3)/Snow",0.717418344977984,0.723140750196606,0.642715540004032,0.25805
"2861","20190822/IMAG0157.JPG","IMAG0157.JPG",3648,2736,"2019:08:18 11:00:18","C:/Users/branc/Desktop/New folder (3)/Snow",0.750273657460566,0.754650598416055,0.658725667767615,0.24845
"2862","20190822/IMAG0158.JPG","IMAG0158.JPG",3648,2736,"2019:08:18 11:10:26","C:/Users/branc/Desktop/New folder (3)/Snow",0.744707499971112,0.73771476769847,0.654101624935974,0.25455
"2863","20190822/IMAG0159.JPG","IMAG0159.JPG",3648,2736,"2019:08:18 11:23:49","C:/Users/branc/Desktop/New folder (3)/Snow",0.782273991098092,0.784396870983362,0.680425338779747,0.25705
"2864","20190822/IMAG0160.JPG","IMAG0160.JPG",3648,2736,"2019:08:18 11:27:04","C:/Users/branc/Desktop/New folder (3)/Snow",0.771779078123397,0.772136015098747,0.691281103661765,0.2483
"2865","20190822/IMAG0161.JPG","IMAG0161.JPG",3648,2736,"2019:08:18 12:52:16","C:/Users/branc/Desktop/New folder (3)/Snow",0.769815330084953,0.78030506895185,0.676425737961191,0.22515
"2866","20190822/IMAG0162.JPG","IMAG0162.JPG",3648,2736,"2019:08:18 12:53:45","C:/Users/branc/Desktop/New folder (3)/Snow",0.781570320910594,0.779968791958484,0.69211613907336,0.24315
"2867","20190822/IMAG0163.JPG","IMAG0163.JPG",3648,2736,"2019:08:18 13:13:03","C:/Users/branc/Desktop/New folder (3)/Snow",0.769889070325783,0.783214977404773,0.682946197631198,0.23235
"2868","20190822/IMAG0164.JPG","IMAG0164.JPG",3648,2736,"2019:08:18 13:23:50","C:/Users/branc/Desktop/New folder (3)/Snow",0.818014376575979,0.839655263256945,0.755384441684547,0.2605
"2869","20190822/IMAG0165.JPG","IMAG0165.JPG",3648,2736,"2019:08:18 15:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.789335354109443,0.83776577941966,0.746228410849045,0.15525
"2870","20190822/IMAG0166.JPG","IMAG0166.JPG",3648,2736,"2019:08:18 17:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.843098687153862,0.885405964116574,0.842006448527486,0.1271
"2871","20190822/IMAG0167.JPG","IMAG0167.JPG",3648,2736,"2019:08:18 19:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.622456479171698,0.580653684182292,0.475357420670046,0.1462
"2872","20190822/IMAG0168.JPG","IMAG0168.JPG",3648,2736,"2019:08:18 21:24:09","C:/Users/branc/Desktop/New folder (3)/Snow",0.507219251336896,0.498418574889158,0.40802710361534,0.1716
"2873","20190822/IMAG0169.JPG","IMAG0169.JPG",3648,2736,"2019:08:18 23:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.505485952923306,0.496812050560539,0.401776542051902,0.1756
"2874","20190822/IMAG0170.JPG","IMAG0170.JPG",3648,2736,"2019:08:19 01:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.506587863361109,0.497015237630317,0.403630995966854,0.1687
"2875","20190822/IMAG0171.JPG","IMAG0171.JPG",3648,2736,"2019:08:19 03:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.506294393139048,0.497302574053443,0.402623162887637,0.1637
"2876","20190822/IMAG0172.JPG","IMAG0172.JPG",3648,2736,"2019:08:19 05:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.725271979759646,0.83804237824162,0.806780518659076,0.062
"2877","20190822/IMAG0173.JPG","IMAG0173.JPG",3648,2736,"2019:08:19 07:24:06","C:/Users/branc/Desktop/New folder (3)/Snow",0.806940063091486,0.843544256819447,0.763116224407748,0.1585
"2878","20190822/IMAG0174.JPG","IMAG0174.JPG",3648,2736,"2019:08:19 09:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.759868052041778,0.755781744584205,0.669543320428797,0.24995
"2879","20190822/IMAG0175.JPG","IMAG0175.JPG",3648,2736,"2019:08:19 11:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.782420995243733,0.78283383151918,0.673252495629126,0.26075
"2880","20190822/IMAG0176.JPG","IMAG0176.JPG",3648,2736,"2019:08:19 13:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.80024726606451,0.819366803196665,0.715782779430668,0.22045
"2881","20190822/IMAG0177.JPG","IMAG0177.JPG",3648,2736,"2019:08:19 15:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.830508427932581,0.860056415548677,0.763420708634334,0.1425
"2882","20190822/IMAG0178.JPG","IMAG0178.JPG",3648,2736,"2019:08:19 17:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.841849353569429,0.888147670535339,0.859455080514503,0.1186
"2883","20190822/IMAG0179.JPG","IMAG0179.JPG",3648,2736,"2019:08:19 19:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.629051506439182,0.577101564849986,0.468313361734275,0.14015
"2884","20190822/IMAG0180.JPG","IMAG0180.JPG",3648,2736,"2019:08:19 21:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.507543695546021,0.49987234017519,0.407083061247303,0.16665
"2885","20190822/IMAG0181.JPG","IMAG0181.JPG",3648,2736,"2019:08:19 23:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.502978451489222,0.494369697184846,0.400591666962502,0.1657
"2886","20190822/IMAG0182.JPG","IMAG0182.JPG",3648,2736,"2019:08:20 01:24:08","C:/Users/branc/Desktop/New folder (3)/Snow",0.50788663187097,0.499098368364127,0.404926646917762,0.1668
"2887","20190822/IMAG0183.JPG","IMAG0183.JPG",3648,2736,"2019:08:20 03:24:09","C:/Users/branc/Desktop/New folder (3)/Snow",0.508908262212837,0.499626196812574,0.405141476247287,0.16025
"2888","20190822/IMAG0184.JPG","IMAG0184.JPG",3648,2736,"2019:08:20 05:24:07","C:/Users/branc/Desktop/New folder (3)/Snow",0.721907336627202,0.835461918523353,0.805932071719337,0.0631
