"","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate","PictureDirectory","R","G","B","Pct"
"1","20190420/IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:03:27 11:57:20","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"2","20190420/IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:03:27 12:00:42","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"3","20190420/IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:03:27 12:01:27","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"4","20190420/IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:03:27 12:03:19","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"5","20190420/IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:03:27 12:04:02","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"6","20190420/IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:03:27 12:04:29","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"7","20190420/IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:03:27 12:04:42","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"8","20190420/IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:03:27 12:10:38","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"9","20190420/IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:03:27 12:11:03","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"10","20190420/IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:03:27 12:11:45","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"11","20190420/IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:03:27 12:12:06","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"12","20190420/IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:03:27 12:12:25","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"13","20190420/IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:03:27 12:12:35","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"14","20190420/IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:03:27 12:12:47","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"15","20190420/IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:03:27 12:12:59","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"16","20190420/IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:03:27 12:13:10","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"17","20190420/IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:03:27 12:13:22","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
"18","20190420/IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:03:27 12:13:37","C:/Users/branc/Desktop/New folder (3)/snow",NA,NA,NA,NA
