"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",1905,1971,2275.2,2345.64324324324,2763.6,2827.2,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:10:31 14:21:49"
"2",1903.8,1987.8,2019.6,2009.09189189189,2048.4,2073,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:10:31 14:21:49"
"3",2634,2649,2973.6,2954.75675675676,3122.25,3418.8,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:10:31 14:21:49"
"4",1818,1908,2005.2,2202.79459459459,2552.4,2793.6,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:10:31 14:21:57"
"5",3145.8,3216,3345,3298.13513513513,3366.6,3414,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:10:31 14:21:57"
"6",2622,2642.55,2965.5,2939.07567567568,3112.95,3393,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:10:31 14:21:57"
"7",1866,1917,1942.2,2170.73513513514,2413.2,2739,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:10:31 14:22:09"
"8",2520.6,2538.6,2601,2599.91351351351,2655,2687.4,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:10:31 14:22:09"
"9",2625,2643.45,2960.7,2937.94054054054,3103.65,3393,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:10:31 14:22:09"
"10",1261.8,1282.2,1344,1537.88108108108,1871.4,2184.6,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:10:31 14:22:26"
"11",2664,2681.4,2724,2722.96216216216,2755.8,2787.6,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:10:31 14:22:26"
"12",2607,2619.45,2989.2,2931.46216216216,3099.45,3386.4,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:10:31 14:22:26"
