"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",2943.6,3113.4,3255.6,3316.18378378378,3559.2,3634.8,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:26 13:19:10"
"2",2072.4,2209.2,2440.2,2415.11052631579,2585.7,2885.4,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:26 13:19:10"
"3",2184.6,2564.25,2778.3,2815.48378378378,3035.55,3519,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:26 13:19:10"
"4",1477.8,1608.6,2141.4,2083.7027027027,2365.8,2962.2,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:26 13:19:29"
"5",2017.2,2213.85,2573.4,2519.16315789474,2657.1,3084,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:26 13:19:29"
"6",2229.6,2683.35,2787.6,2810.44864864865,2966.25,3364.8,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:26 13:19:29"
"7",2538.6,2833.2,3005.4,3123.03243243243,3520.2,3624.6,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:26 13:19:41"
"8",1834.2,2082.3,2418,2411.03684210526,2618.1,3285.6,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:26 13:19:41"
"9",1755,2095.2,2442.6,2479.71081081081,2814,3264,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:26 13:19:41"
"10",786.6,1392,2154.6,2119.86486486487,2880.6,3082.2,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:26 13:19:57"
"11",1807.8,1939.5,2065.5,2109.26842105263,2211.45,2787,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:26 13:19:57"
"12",2116.8,2451,2583.3,2579.22162162162,2686.95,2946,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:26 13:19:57"
"13",1190.4,1651.2,2109.6,2157.45405405405,2742,2964.6,1,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:26 13:21:44"
"14",1860,1947.75,2124.6,2162.71578947368,2240.55,3088.8,2,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:26 13:21:44"
"15",1443,1633.95,1741.8,1738.54864864865,1841.25,2036.4,3,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:26 13:21:44"
"16",2025,2531.4,3177,3023.62702702703,3512.4,3829.8,1,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:26 13:22:06"
"17",1963.2,2034.3,2241,2298.17368421053,2521.8,2996.4,2,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:26 13:22:06"
"18",1339.8,1948.8,2321.7,2149.58918918919,2438.85,2562.6,3,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:26 13:22:06"
"19",1551.6,2074.2,2567.4,2512.99459459459,3070.8,3238.2,1,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:26 13:22:19"
"20",1851,1983.9,2091.3,2193.61578947368,2282.85,3359.4,2,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:26 13:22:19"
"21",2093.4,2224.8,2639.1,2579.74864864865,2882.1,3055.2,3,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:26 13:22:19"
"22",786,1432.8,1771.2,1978.03783783784,2853,3212.4,1,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:26 13:22:35"
"23",1818.6,1896.45,2016.3,2165.32105263158,2316,3137.4,2,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:26 13:22:35"
"24",1284.6,1781.55,2280.3,2200.33783783784,2631.75,3109.8,3,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:26 13:22:35"
"25",1240.2,1306.8,2326.8,2164.58918918919,2706,3630.6,1,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:26 13:23:26"
"26",1896,2069.7,2297.7,2282.82631578947,2461.65,2910.6,2,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:26 13:23:26"
"27",1923.6,2490.15,2664.9,2686.02162162162,2899.8,3249.6,3,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:26 13:23:26"
"28",1918.8,2597.4,2811,2810.3027027027,2920.2,3650.4,1,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:26 13:24:36"
"29",1899.6,1998,2065.5,2101.86315789474,2166.6,2481.6,2,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:26 13:24:36"
"30",1529.4,2019.45,2532.3,2361.68108108108,2692.2,3055.2,3,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:26 13:24:36"
"31",708,759,897,904.913513513514,1007.4,1137,1,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:26 13:24:49"
"32",1226.4,1459.05,1550.4,1546.59473684211,1689.75,1801.8,2,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:26 13:24:49"
"33",1947,2220.15,2472,2468.41621621622,2692.05,2981.4,3,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:26 13:24:49"
"34",1988.4,2363.4,2653.2,2645.46486486486,2923.2,3291,1,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:26 13:25:10"
"35",1900.2,1984.35,2325.6,2275.54736842105,2428.95,3171.6,2,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:26 13:25:10"
"36",3318,3684.9,3764.7,3753.64864864865,3881.85,3967.8,3,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:26 13:25:10"
"37",636,1754.4,2042.4,1901.85405405405,2235,2478.6,1,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:26 13:25:44"
"38",1832.4,1897.65,1943.1,2053.62631578947,2166.75,2569.2,2,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:26 13:25:44"
"39",2085,2339.4,2495.7,2550.17027027027,2714.4,3480.6,3,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:26 13:25:44"
"40",1086.6,2098.2,2495.4,2265.71351351351,2619,2817,1,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:26 13:26:01"
"41",1857.6,1900.65,1959.3,1973.22631578947,2035.95,2211,2,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:26 13:26:01"
"42",2197.2,2409.6,2509.8,2590.76756756757,2680.35,3735.6,3,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:26 13:26:01"
"43",1830.6,1921.8,2154.6,2176.03783783784,2356.8,2610.6,1,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:26 15:19:09"
"44",2751,2871.15,2964.9,2966.32105263158,3058.65,3238.2,2,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:26 15:19:09"
"45",2958.6,3193.5,3315.6,3360.79459459459,3518.25,4048.2,3,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:26 15:19:09"
"46",1976.4,2637,3099.6,2894.78918918919,3178.2,3491.4,1,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:09:26 17:19:09"
"47",2639.4,2661.15,2742,2807.77894736842,2931.6,3159,2,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:09:26 17:19:09"
"48",3117,3412.95,3535.8,3511.76756756757,3661.35,3841.2,3,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:09:26 17:19:09"
"49",1897.2,2235.6,2694.6,2741.20540540541,3092.4,3868.8,1,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:09:26 19:19:09"
"50",1535.4,1897.8,2111.1,2011.16842105263,2158.35,2258.4,2,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:09:26 19:19:09"
"51",1570.8,1731.75,1834.2,1813.06216216216,1910.25,1995,3,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:09:26 19:19:09"
"52",2412.6,2884.8,3064.8,3111.42162162162,3352.8,4259.4,1,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:09:26 21:19:09"
"53",1512,1597.05,1696.2,1800.94736842105,2021.55,2242.8,2,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:09:26 21:19:09"
"54",1602,1674.15,1806,1806.82702702703,1905.45,2074.2,3,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:09:26 21:19:09"
"55",2407.8,2779.2,2936.4,3070.02162162162,3228.6,4172.4,1,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:09:26 23:19:09"
"56",1687.8,2377.35,2817.3,2648.36842105263,2985,3235.8,2,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:09:26 23:19:09"
"57",1351.2,1482,1822.2,1741.07837837838,1901.25,2204.4,3,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:09:26 23:19:09"
"58",2178,2729.4,3138.6,3217.92972972973,3653.4,4478.4,1,20,"IMAG0020.JPG","IMAG0020.JPG",3648,2736,"2019:09:27 01:19:09"
"59",1411.8,1711.95,1797.3,1820.28947368421,1969.65,2229,2,20,"IMAG0020.JPG","IMAG0020.JPG",3648,2736,"2019:09:27 01:19:09"
"60",1525.8,1631.55,1689.6,1684.41891891892,1728.3,1855.8,3,20,"IMAG0020.JPG","IMAG0020.JPG",3648,2736,"2019:09:27 01:19:09"
"61",2428.8,2789.4,3110.4,3187.15135135135,3567,4308,1,21,"IMAG0021.JPG","IMAG0021.JPG",3648,2736,"2019:09:27 03:19:09"
"62",1509.6,1797,2037.3,1994.84210526316,2200.2,2421.6,2,21,"IMAG0021.JPG","IMAG0021.JPG",3648,2736,"2019:09:27 03:19:09"
"63",1576.8,1733.4,1849.5,1846.8972972973,1957.2,2095.2,3,21,"IMAG0021.JPG","IMAG0021.JPG",3648,2736,"2019:09:27 03:19:09"
"64",2643.6,3127.8,3269.4,3331.78378378378,3700.8,4273.8,1,22,"IMAG0022.JPG","IMAG0022.JPG",3648,2736,"2019:09:27 05:19:09"
"65",1548,2053.05,2200.5,2089.37368421053,2260.35,2320.8,2,22,"IMAG0022.JPG","IMAG0022.JPG",3648,2736,"2019:09:27 05:19:09"
"66",1603.8,1749.15,1990.8,1952.01081081081,2143.5,2283.6,3,22,"IMAG0022.JPG","IMAG0022.JPG",3648,2736,"2019:09:27 05:19:09"
"67",2198.4,2574.6,3133.8,3077.41621621622,3639.6,3867.6,1,23,"IMAG0023.JPG","IMAG0023.JPG",3648,2736,"2019:09:27 07:19:08"
"68",2136.6,2273.25,2513.4,2606.79473684211,2790.75,3503.4,2,23,"IMAG0023.JPG","IMAG0023.JPG",3648,2736,"2019:09:27 07:19:08"
"69",2573.4,2989.05,3156.3,3170.62702702703,3352.35,3631.8,3,23,"IMAG0023.JPG","IMAG0023.JPG",3648,2736,"2019:09:27 07:19:08"
"70",1040.4,1140,1575,1652.67567567568,2132.4,2244,1,24,"IMAG0024.JPG","IMAG0024.JPG",3648,2736,"2019:09:27 09:19:08"
"71",1585.8,1689.15,1727.1,1833.42631578947,1985.85,2222.4,2,24,"IMAG0024.JPG","IMAG0024.JPG",3648,2736,"2019:09:27 09:19:08"
