"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",1182,1408.2,2519.4,2295.04864864865,3103.8,3144.6,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:10 08:30:37"
"2",2404.8,2515.35,2968.8,2979.17368421053,3407.1,3568.8,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:10 08:30:37"
"3",2657.4,2850.15,3057.3,3218.95135135135,3432.9,5004.6,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:10 08:30:37"
"4",1196.4,1488.6,2403,2290.57297297297,3060,3379.2,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:10 08:30:56"
"5",2453.4,2513.85,2899.2,2928.26842105263,3290.4,3518.4,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:10 08:30:56"
"6",2808,2933.85,3150,3235.78378378378,3399,4696.2,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:10 08:30:56"
"7",1240.8,1481.4,2338.2,2261.52972972973,3004.2,3195.6,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:10 08:31:11"
"8",2400.6,2525.85,2947.5,2955.53684210526,3383.1,3515.4,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:10 08:31:11"
"9",2998.8,3113.55,3191.4,3316.48378378378,3475.35,4386,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:10 08:31:11"
"10",1364.4,1546.2,2362.8,2318.48108108108,3074.4,3185.4,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:10 08:31:23"
"11",2493,2550.6,2855.4,2912.06842105263,3263.85,3454.8,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:10 08:31:23"
"12",2878.2,3091.65,3164.7,3279.89189189189,3392.85,4513.2,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:10 08:31:23"
"13",1544.4,2434.2,3355.8,2928.21081081081,3477.6,3751.8,1,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:10 10:30:35"
"14",2298,2435.4,2497.8,2563.05789473684,2629.05,2942.4,2,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:10 10:30:35"
"15",1433.4,1813.35,2190.9,2287.58108108108,2856.15,3219,3,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:10 10:30:35"
"16",2008.2,2307,2352,2374.73513513514,2528.4,2688,1,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:10 12:30:35"
"17",1734.6,1819.35,1943.4,1981.07368421053,2110.95,2460.6,2,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:10 12:30:35"
"18",1956.6,2283.45,2414.4,2509.87297297297,2858.7,3064.2,3,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:10 12:30:35"
"19",1521,1611,2310,2296.8972972973,2922.6,3205.2,1,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:10 14:30:35"
"20",2254.8,2377.05,2558.7,2537.16315789474,2686.05,2800.8,2,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:10 14:30:35"
"21",2826.6,3208.35,3384.9,3377.47297297297,3540.75,3821.4,3,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:10 14:30:35"
"22",1840.2,2317.2,2467.8,2593.57297297297,2980.8,3307.8,1,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:10 16:30:35"
"23",2404.8,2586.3,2802.6,2734.75263157895,2888.55,2955,2,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:10 16:30:35"
"24",2783.4,3061.65,3216,3243.6972972973,3427.8,3850.8,3,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:10 16:30:35"
"25",2232,2711.4,3028.8,2995.05405405405,3318.6,3801,1,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:10 18:30:36"
"26",2977.2,3118.8,3221.1,3198.78947368421,3282.15,3361.2,2,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:10 18:30:36"
"27",2998.8,3130.65,3173.4,3194.39189189189,3271.05,3396,3,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:10 18:30:36"
"28",2491.2,2997.6,3086.4,3148.13513513513,3388.2,3994.8,1,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:10 20:30:37"
"29",1296.6,1754.1,1844.7,1788.48947368421,1895.25,1962.6,2,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:10 20:30:37"
"30",1509,1610.7,1736.1,1760.74864864865,1868.85,2125.8,3,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:10 20:30:37"
"31",2518.2,2943.6,3061.8,3096.89189189189,3195.6,3771.6,1,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:10 22:30:36"
"32",1638.6,1828.5,1991.1,2044.10526315789,2302.65,2447.4,2,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:10 22:30:36"
"33",1261.8,1413.15,1481.7,1529.10810810811,1694.7,1838.4,3,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:10 22:30:36"
"34",2748,3115.2,3263.4,3321.63243243243,3532.2,4019.4,1,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:11 00:30:36"
"35",1198.8,1444.05,1600.2,1578.71052631579,1725.9,1845.6,2,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:11 00:30:36"
"36",1300.2,1348.95,1561.2,1540.16756756757,1654.05,1911,3,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:11 00:30:36"
"37",2313,2808.6,3013.2,3035.33513513514,3265.8,3834.6,1,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:11 02:30:36"
"38",1764.6,1940.7,2112.6,2115.86842105263,2266.05,2513.4,2,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:11 02:30:36"
"39",1526.4,1621.5,1857.9,1963.33783783784,2240.25,2943.6,3,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:11 02:30:36"
"40",2391.6,2833.2,3082.8,3101.18918918919,3313.2,4000.2,1,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:11 04:30:36"
"41",1676.4,2067.75,2309.4,2310.78947368421,2578.65,2889,2,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:11 04:30:36"
"42",1888.2,2056.5,2172.9,2274.44594594595,2499.6,2840.4,3,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:11 04:30:36"
"43",1524,2151.6,2964,2611.88108108108,3106.2,3195,1,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:11 06:30:35"
"44",2649.6,2853,3036.6,3081.33157894737,3394.8,3490.2,2,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:11 06:30:35"
"45",2407.8,2478.6,2680.2,2710.15135135135,2815.65,3553.8,3,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:11 06:30:35"
