"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",3517.2,3529.8,3895.8,3867.25945945946,4194.6,4233,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:03 08:55:23"
"2",1948.8,1965.9,1997.1,1990.84736842105,2011.2,2022.6,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:03 08:55:23"
"3",2594.4,3121.35,3698.4,3514.63783783784,3821.85,4012.8,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:09:03 08:55:23"
"4",3000,3020.4,3038.4,3036.45405405405,3053.4,3077.4,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:03 08:55:43"
"5",2775,2904,2946.6,2933.16315789474,2992.05,3025.2,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:03 08:55:43"
"6",1348.2,1429.8,1452.6,1480.43513513514,1581.6,1615.8,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:09:03 08:55:43"
"7",1051.8,1096.8,1303.8,1787.12432432432,2650.2,2956.2,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:03 08:55:53"
"8",2269.8,2402.7,2543.7,2514.07894736842,2619.15,2735.4,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:03 08:55:53"
"9",2587.8,2757.45,2864.1,2983.32972972973,3086.4,4020.6,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:09:03 08:55:53"
"10",878.4,935.4,1075.2,1602.40540540541,2393.4,2848.8,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:03 08:56:13"
"11",2146.2,2297.7,2479.8,2433.83684210526,2567.25,2615.4,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:03 08:56:13"
"12",2875.2,2996.55,3102,3210.25945945946,3414,4075.2,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:09:03 08:56:13"
"13",1041,1177.8,2045.4,2036.09189189189,2921.4,3030.6,1,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:03 08:56:24"
"14",2118,2163.6,2344.5,2327.63684210526,2465.1,2647.2,2,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:03 08:56:24"
"15",2448,2531.85,2688.6,2856.43783783784,3114.9,3912,3,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:09:03 08:56:24"
"16",924.6,1070.4,1878,1954.32972972973,2876.4,3002.4,1,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:03 08:57:25"
"17",2149.8,2191.2,2414.1,2346.75789473684,2444.4,2527.2,2,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:03 08:57:25"
"18",2751,2859.45,3019.5,3116.96756756757,3345.15,3911.4,3,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:09:03 08:57:25"
"19",2365.8,2703.6,3148.8,3093.35675675676,3345.6,3769.8,1,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:03 10:55:41"
"20",2157.6,2297.85,2404.8,2428.62631578947,2583.45,2742,2,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:03 10:55:41"
"21",2270.4,2424.9,2752.2,2831.47297297297,3139.65,3582.6,3,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:09:03 10:55:41"
"22",1619.4,1744.2,2410.2,2343.79459459459,2886.6,3164.4,1,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:03 12:55:41"
"23",1984.8,2008.65,2258.4,2354.90526315789,2717.7,2827.2,2,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:03 12:55:41"
"24",1149.6,1283.7,1728,1997.7972972973,2713.95,3300,3,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:09:03 12:55:41"
"25",1966.2,2046.6,2164.8,2303.14054054054,2408.4,2997,1,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:03 14:55:42"
"26",2289,2389.5,2670.3,2645.58947368421,2887.35,2917.2,2,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:03 14:55:42"
"27",2530.8,3064.95,3299.7,3233.01891891892,3482.1,3664.8,3,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:09:03 14:55:42"
"28",1913.4,1968,2143.2,2267.85405405405,2516.4,2950.8,1,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:03 16:55:42"
"29",2137.8,2231.4,2312.7,2373.23684210526,2472.9,2751,2,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:03 16:55:42"
"30",2865.6,3028.2,3191.1,3192.51081081081,3375.9,3480,3,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:09:03 16:55:42"
"31",1183.8,1409.4,1639.2,1733.46486486486,2140.2,2318.4,1,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:03 18:55:43"
"32",2714.4,3154.2,3236.4,3216.58421052632,3357.75,3447,2,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:03 18:55:43"
"33",1921.8,2173.95,2345.7,2432.91891891892,2529.6,3368.4,3,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:09:03 18:55:43"
"34",1692,1846.2,2505,2384.82162162162,2883,3090.6,1,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:03 20:55:42"
"35",1817.4,2207.4,2408.1,2337.93157894737,2526.3,2706,2,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:03 20:55:42"
"36",1430.4,1777.05,1859.7,1868.61081081081,2014.65,2216.4,3,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:09:03 20:55:42"
"37",1775.4,1915.2,2335.2,2323.42702702703,2734.2,2973.6,1,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:03 22:55:42"
"38",1691.4,1959.6,1999.8,1991.1,2048.7,2207.4,2,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:03 22:55:42"
"39",1128,1364.25,1463.1,1532.50540540541,1789.95,1928.4,3,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:09:03 22:55:42"
"40",1845.6,1932.6,2430,2395.41081081081,2782.2,3000,1,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:04 00:55:43"
"41",1881.6,1957.5,2388,2287.56315789474,2531.7,2704.8,2,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:04 00:55:43"
"42",1717.8,1811.4,2073.6,2071.52432432432,2319.15,2414.4,3,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:09:04 00:55:43"
"43",1399.8,1612.8,2100,2088.98918918919,2622,2804.4,1,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:04 02:55:43"
"44",1610.4,1671.6,1726.5,1767.22105263158,1875.9,1962.6,2,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:04 02:55:43"
"45",1384.8,1581,1699.2,1691.01081081081,1815.75,1919.4,3,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:09:04 02:55:43"
"46",1629,1785,2266.2,2313.32432432432,2831.4,3091.8,1,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:09:04 04:55:42"
"47",2170.8,2274.3,2478,2455.95789473684,2580.45,2772,2,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:09:04 04:55:42"
"48",1421.4,1544.25,1597.5,1683.2027027027,1792.5,2314.8,3,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:09:04 04:55:42"
"49",1593.6,1624.8,1840.8,2166.12972972973,2731.8,3351,1,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:09:04 06:55:41"
"50",2305.2,2561.25,2888.7,2786.02105263158,2956.05,3132,2,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:09:04 06:55:41"
"51",2681.4,2893.95,3039,3188.85405405405,3515.25,4071,3,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:09:04 06:55:41"
"52",1362.6,1590,2550.6,2327.05945945946,3003,3307.2,1,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:09:05 06:55:41"
