"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",782.4,863.4,903.6,951.308108108108,1042.8,1299.6,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:05:14 13:13:34"
"2",2385,2487.15,2566.5,2590.89473684211,2668.2,2845.8,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:05:14 13:13:34"
"3",1160.4,1326.3,1394.7,1554.6,1798.95,2465.4,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:05:14 13:13:34"
"4",559.8,754.2,891,870.405405405405,996.6,1192.2,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:05:14 13:13:42"
"5",2562.6,2642.25,2703.9,2712.61578947368,2747.55,2962.2,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:05:14 13:13:42"
"6",1206.6,1288.2,1436.7,1556.02702702703,1704.15,2383.8,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:05:14 13:13:42"
"7",642.6,694.8,865.2,833.124324324324,954,1074.6,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:05:14 13:14:26"
"8",2218.2,2355.6,2505.9,2518.29473684211,2666.4,2915.4,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:05:14 13:14:26"
"9",1224.6,1278.15,1375.5,1521.57567567568,1823.55,2142.6,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:05:14 13:14:26"
"10",630,745.2,806.4,818.967567567568,887.4,1008,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:05:14 13:14:38"
"11",1894.2,1975.5,2261.1,2221.05789473684,2414.55,2535,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:05:14 13:14:38"
"12",1215,1291.8,1364.4,1560.47837837838,1947.9,2478,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:05:14 13:14:38"
"13",489.6,567.6,734.4,706.556756756757,823.8,935.4,1,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:05:14 13:14:53"
"14",1843.8,1995.9,2100,2095.2,2160.3,2384.4,2,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:05:14 13:14:53"
"15",1176,1250.85,1329.6,1543.63783783784,1784.25,2781,3,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:05:14 13:14:53"
"16",684,713.4,729,732,750,797.4,1,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:05:14 13:16:01"
"17",2733.6,3058.35,3285.6,3289.13684210526,3374.4,4233,2,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:05:14 13:16:01"
"18",1659.6,2120.25,2656.5,2506.07027027027,2860.65,3085.8,3,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:05:14 13:16:01"
"19",594.6,637.2,677.4,675.94054054054,708.6,741,1,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:05:14 13:16:29"
"20",2677.2,3034.5,3313.5,3244.26315789474,3342.15,3996,2,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:05:14 13:16:29"
"21",1426.8,1578,1992.3,2000.09189189189,2380.2,2625.6,3,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:05:14 13:16:29"
"22",598.8,695.4,762.6,763.151351351351,823.2,975.6,1,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:05:14 13:16:48"
"23",2731.2,2905.8,2978.7,3019.01052631579,3156.6,3278.4,2,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:05:14 13:16:48"
"24",1288.8,1348.35,1584.3,1837.00540540541,2170.5,2839.8,3,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:05:14 13:16:48"
"25",646.2,675,709.2,730.345945945946,749.4,895.2,1,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:05:14 13:17:23"
"26",2685,2990.7,3182.1,3199.48421052632,3285.75,4215,2,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:05:14 13:17:23"
"27",1339.8,1566.3,1989.9,1996.43513513514,2396.7,2597.4,3,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:05:14 13:17:23"
"28",637.2,679.8,710.4,712.508108108108,736.8,825,1,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:05:14 13:18:27"
"29",2770.2,2966.4,3021,3070.45263157895,3154.65,3577.8,2,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:05:14 13:18:27"
"30",1352.4,1402.5,1485,1702.01351351351,1985.85,2436,3,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:05:14 13:18:27"
"31",750,777.6,792,805.345945945946,819,919.2,1,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:05:14 13:18:59"
"32",2539.2,2850.6,2897.7,2936.11578947368,3030.45,3595.8,2,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:05:14 13:18:59"
"33",1434,1715.4,2151,2104.18378378378,2474.7,2834.4,3,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:05:14 13:18:59"
"34",781.8,850.8,945.6,966.356756756757,1046.4,1236,1,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:05:14 15:13:33"
"35",2577,3068.4,3258,3199.34210526316,3372.15,3723,2,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:05:14 15:13:33"
"36",1216.2,1252.2,1295.4,1434.41351351351,1635.6,1995.6,3,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:05:14 15:13:33"
"37",2275.8,2305.2,2317.8,2349.58378378378,2352,2603.4,1,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:05:14 17:13:33"
"38",3148.2,3386.25,3539.1,3549.25263157895,3704.7,4096.2,2,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:05:14 17:13:33"
"39",2545.8,3019.2,3134.1,3067.09459459459,3185.55,3288.6,3,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:05:14 17:13:33"
"40",799.2,870,939.6,965.432432432432,1074.6,1194,1,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:05:14 19:13:33"
"41",2448,2595.45,2677.5,2700.97894736842,2795.25,3053.4,2,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:05:14 19:13:33"
"42",2964,3267.9,3426,3410.38378378378,3572.55,3716.4,3,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:05:14 19:13:33"
"43",590.4,708.6,750,790.102702702703,907.2,956.4,1,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:05:14 21:13:35"
"44",1686.6,2391.45,2471.4,2440.37368421053,2585.1,2843.4,2,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:05:14 21:13:35"
"45",2191.8,2432.85,2725.2,2671.98648648649,2968.2,3145.8,3,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:05:14 21:13:35"
"46",425.4,582,619.8,639.210810810811,729,855,1,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:05:14 23:13:34"
"47",1838.4,2519.7,2639.4,2565.72631578947,2707.65,2805,2,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:05:14 23:13:34"
"48",2500.8,2673.45,2895.9,2882.26216216216,3007.65,3472.2,3,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:05:14 23:13:34"
"49",353.4,581.4,642.6,635.497297297297,724.8,804.6,1,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:05:15 01:13:34"
"50",2025,2514.3,2587.2,2588.08421052632,2697.75,2821.8,2,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:05:15 01:13:34"
"51",2495.4,2674.35,2931.3,2958.31621621622,3252.15,3585.6,3,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:05:15 01:13:34"
"52",294.6,519.6,587.4,564.664864864865,629.4,733.2,1,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:05:15 03:13:34"
"53",1677,2139.75,2283.6,2226.88421052632,2324.85,2370,2,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:05:15 03:13:34"
"54",2799.6,2906.85,3076.5,3165.58378378378,3361.2,3814.2,3,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:05:15 03:13:34"
"55",882,939.6,1134.6,1211.83783783784,1500.6,1722.6,1,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:05:15 05:13:33"
"56",2803.2,3252.75,3371.1,3360.17368421053,3515.25,3567.6,2,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:05:15 05:13:33"
