"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",897,906,918,919.32972972973,933,945,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:05:05 09:58:38"
"2",3502.2,3543.6,3565.8,3564.72631578947,3591,3604.2,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:05:05 09:58:38"
"3",1359,1380.75,1396.5,1440.38108108108,1401,2336.4,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:05:05 09:58:38"
"4",918,927,939,939.632432432432,951,966,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:05:05 09:58:45"
"5",2378.4,2449.65,2595.3,2565.28421052632,2649.15,2741.4,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:05:05 09:58:45"
"6",1378.2,1398.15,1413,1457.4,1419,2349,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:05:05 09:58:45"
"7",882,891,903,903.437837837838,915,930,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:05:05 09:58:58"
"8",2695.8,2748.3,2784.3,2811.15789473684,2895,2962.8,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:05:05 09:58:58"
"9",1350,1368,1384.5,1429.11081081081,1392,2321.4,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:05:05 09:58:58"
"10",909,918,930,930.875675675676,942,957,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:05:05 09:59:23"
"11",2355,2541.75,2652.3,2603.71578947368,2687.85,2781,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:05:05 09:59:23"
"12",1377,1395,1410,1458.77027027027,1417.5,2349.6,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:05:05 09:59:23"
"13",912,921,933,935.335135135135,948,963,1,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:05:05 09:59:40"
"14",2343.6,2446.65,2607.9,2553.39473684211,2643.45,2658,2,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:05:05 09:59:40"
"15",1384.8,1402.65,1416,1471.86486486486,1425,2364,3,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:05:05 09:59:40"
"16",906,915,927,927.891891891892,939,954,1,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:05:05 09:59:55"
"17",2422.8,2484.6,2603.4,2561.60526315789,2618.4,2688.6,2,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:05:05 09:59:55"
"18",1368,1389,1401,1442.31891891892,1410,2304.6,3,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:05:05 09:59:55"
"19",775.2,918,927,921.243243243243,939,944.4,1,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:05:05 10:00:22"
"20",2336.4,2377.8,2488.2,2477.95263157895,2526.3,2677.8,2,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:05:05 10:00:22"
"21",1377,1398,1410,1464.42972972973,1419,2358,3,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:05:05 10:00:22"
"22",897,906,918,919.735135135135,933,945,1,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:05:05 10:00:49"
"23",2265.6,2363.4,2466.3,2439.9,2500.65,2639.4,2,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:05:05 10:00:49"
"24",1366.2,1386,1403.1,1451.55405405405,1410,2352,3,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:05:05 10:00:49"
"25",891,900,912,912.616216216216,924,939,1,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:05:05 10:01:02"
"26",2197.2,2283.45,2402.4,2379.41052631579,2468.7,2599.2,2,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:05:05 10:01:02"
"27",1377,1395,1408.5,1485.86756756757,1415.25,2394,3,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:05:05 10:01:02"
"28",912,921,933,935.254054054054,948,960,1,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:05:05 10:01:14"
"29",3022.8,3046.2,3078,3086.55789473684,3120.3,3177,2,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:05:05 10:01:14"
"30",1077,1105.5,1137,1167.44594594595,1166.1,1491.6,3,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:05:05 10:01:14"
"31",897,906,918,918.437837837838,930,945,1,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:05:05 10:01:26"
"32",2332.2,2388.9,2457,2455.5,2513.25,2640,2,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:05:05 10:01:26"
"33",1189.8,1375.2,1398,1423.64594594595,1407,2347.2,3,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:05:05 10:01:26"
"34",885,894,906,907.540540540541,918,933,1,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:05:05 10:01:39"
"35",2284.2,2344.2,2425.5,2420.08421052632,2470.05,2642.4,2,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:05:05 10:01:39"
"36",1353,1371.3,1386,1428.98108108108,1392.9,2322,3,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:05:05 10:01:39"
"37",819,828,837,838.767567567568,851.4,861,1,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:05:05 10:01:52"
"38",2147.4,2289.75,2391.3,2369.11578947368,2449.65,2533.8,2,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:05:05 10:01:52"
"39",2011.8,2278.35,2385,2381.92702702703,2431.05,3012,3,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:05:05 10:01:52"
"40",864,873,888,886.459459459459,897,909,1,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:05:05 10:02:11"
