"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",1468.8,1584.15,1590.3,1590.84324324324,1599,1719,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:12:05 15:09:54"
"2",1435.2,1500.6,1688.4,1644.6,1746.6,1824.6,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:12:05 15:09:54"
"3",1770,2142.9,2600.1,2672.78918918919,3318.6,3620.4,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:12:05 15:09:54"
"4",1371,1575,1587,1581.25945945946,1593,1602,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:12:05 17:09:53"
"5",1678.8,1840.8,2227.8,2132.28648648649,2426.4,2461.2,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:12:05 17:09:53"
"6",1505.4,1530.6,1549.2,1544.6027027027,1560,1573.2,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:12:05 17:09:53"
"7",1319.4,1484.1,1503.9,1484.73243243243,1520.4,1584,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:12:05 19:09:53"
"8",1656,1887,2327.4,2172.81081081081,2433,2457,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:12:05 19:09:53"
"9",1446,1454.1,1458,1456.13513513514,1458,1464,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:12:05 19:09:53"
"10",1340.4,1418.55,1483.5,1467.60810810811,1512.15,1578,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:12:05 21:09:53"
"11",1656,1894.2,2323.8,2187.6972972973,2439,2465.4,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:12:05 21:09:53"
"12",1455,1458,1464,1464.62432432432,1473,1473,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:12:05 21:09:53"
"13",1452.6,1498.8,1526.4,1533.61621621622,1577.1,1599,1,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:12:05 23:09:54"
"14",1671,1905,2327.4,2201.15675675676,2457,2478.6,2,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:12:05 23:09:54"
"15",1476,1482,1485.6,1487.18108108108,1491,1509,3,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:12:05 23:09:54"
"16",1196.4,1269.15,1340.1,1342.91351351351,1429.05,1491.6,1,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:12:06 01:09:53"
"17",1656,1927.8,2343.6,2187.35675675676,2442,2467.8,2,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:12:06 01:09:53"
"18",1476,1482,1485,1486.38648648649,1488,1500,3,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:12:06 01:09:53"
"19",1224.6,1290.45,1367.7,1381.75945945946,1439.7,1547.4,1,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:12:06 03:09:53"
"20",1710.6,1914.6,2328.6,2202.04864864865,2442,2466,2,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:12:06 03:09:53"
"21",1464,1470,1473,1473.95675675676,1479,1492.2,3,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:12:06 03:09:53"
"22",1234.8,1284.6,1320,1325.82162162162,1355.85,1436.4,1,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:12:06 05:09:53"
"23",1755,1930.2,2329.8,2209.03783783784,2448,2469,2,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:12:06 05:09:53"
"24",1461,1467,1473,1471.13513513514,1476,1479,3,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:12:06 05:09:53"
"25",1573.8,1578,1596,1632.08108108108,1601.25,2196,1,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:12:06 07:09:53"
"26",1933.8,1935,1957.8,2134.86486486487,2317.2,2577.6,2,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:12:06 07:09:53"
"27",2049,2053.8,2064.3,2137.45135135135,2220.45,2334,3,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:12:06 07:09:53"
"28",1581,1587,1605,1637.48108108108,1608,2208,1,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:12:06 09:09:52"
"29",1941,1942.8,1944,1944.01621621622,1944,1953,2,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:12:06 09:09:52"
"30",1885.2,1904.55,1916.1,1970.63513513514,2021.7,2169,3,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:12:06 09:09:52"
"31",1572,1578,1595.1,1610.0027027027,1599,2070,1,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:12:06 11:09:52"
"32",1941,1941,2205.6,2249.69189189189,2525.4,2679.6,2,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:12:06 11:09:52"
"33",2004.6,2043.75,2166.9,2169.67297297297,2236.35,2495.4,3,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:12:06 11:09:52"
"34",1453.2,1578,1589.4,1587.91621621622,1596,1839.6,1,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:12:06 13:09:52"
"35",1932,1940.4,1985.4,1989.42162162162,2020.2,2127,2,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:12:06 13:09:52"
"36",1777.2,1803.75,2122.8,2132.31081081081,2362.05,2604.6,3,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:12:06 13:09:52"
"37",1584.6,1600.35,1627.2,1834.28918918919,1770.45,2717.4,1,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:12:06 15:09:52"
"38",1917,1923,2199.6,2212.62162162162,2514,2527.2,2,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:12:06 15:09:52"
"39",2169,2469,2469,2599.50810810811,2820.3,3045,3,13,"IMAG0013.JPG","IMAG0013.JPG",3648,2736,"2019:12:06 15:09:52"
"40",1543.8,1560,1579.5,1571.13243243243,1584,1587,1,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:12:06 17:09:54"
"41",1813.8,2054.4,2439,2301.94054054054,2568,2583.6,2,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:12:06 17:09:54"
"42",1515,1532.4,1539,1542.8027027027,1550.25,1594.8,3,14,"IMAG0014.JPG","IMAG0014.JPG",3648,2736,"2019:12:06 17:09:54"
"43",1188,1305.75,1395,1378.32972972973,1437,1516.2,1,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:12:06 19:09:54"
"44",1708.8,2007,2380.8,2243.70810810811,2490,2515.8,2,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:12:06 19:09:54"
"45",1452,1463.55,1475.7,1474.41081081081,1484.55,1497,3,15,"IMAG0015.JPG","IMAG0015.JPG",3648,2736,"2019:12:06 19:09:54"
"46",1235.4,1318.35,1380.9,1388.64324324324,1473.9,1503,1,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:12:06 21:09:54"
"47",1689,1976.4,2365.8,2224.02162162162,2470.2,2484,2,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:12:06 21:09:54"
"48",1435.2,1470.15,1476,1471.71891891892,1479,1488,3,16,"IMAG0016.JPG","IMAG0016.JPG",3648,2736,"2019:12:06 21:09:54"
"49",1279.8,1424.25,1479,1458.28378378378,1517.25,1569,1,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:12:06 23:09:54"
"50",1773,2020.2,2394.6,2279.18918918919,2508,2532,2,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:12:06 23:09:54"
"51",1459.8,1492.8,1497.6,1495.8972972973,1502.25,1509,3,17,"IMAG0017.JPG","IMAG0017.JPG",3648,2736,"2019:12:06 23:09:54"
"52",1228.8,1373.7,1464.3,1441.91351351351,1512.45,1557,1,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:12:07 01:09:53"
"53",1782,2037,2433.6,2279.70810810811,2503.8,2520,2,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:12:07 01:09:53"
"54",1443,1458.75,1482,1475.38378378378,1486.8,1516.2,3,18,"IMAG0018.JPG","IMAG0018.JPG",3648,2736,"2019:12:07 01:09:53"
"55",1180.2,1245.45,1382.1,1353.77837837838,1447.8,1506,1,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:12:07 03:09:53"
"56",1722,2023.8,2424.6,2261.95135135135,2487.6,2502,2,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:12:07 03:09:53"
"57",1461,1485,1491.3,1488.82702702703,1500,1500,3,19,"IMAG0019.JPG","IMAG0019.JPG",3648,2736,"2019:12:07 03:09:53"
"58",1162.8,1203.75,1291.2,1296.86756756757,1363.2,1459.2,1,20,"IMAG0020.JPG","IMAG0020.JPG",3648,2736,"2019:12:07 05:09:53"
"59",1722,2034,2403,2253.08108108108,2487,2499,2,20,"IMAG0020.JPG","IMAG0020.JPG",3648,2736,"2019:12:07 05:09:53"
"60",1442.4,1461,1476,1470.92432432432,1482,1497,3,20,"IMAG0020.JPG","IMAG0020.JPG",3648,2736,"2019:12:07 05:09:53"
"61",1539,1545,1557,1591.67027027027,1560,2178,1,21,"IMAG0021.JPG","IMAG0021.JPG",3648,2736,"2019:12:07 07:09:53"
"62",1911,1980.6,2509.8,2369.44864864865,2673,2691,2,21,"IMAG0021.JPG","IMAG0021.JPG",3648,2736,"2019:12:07 07:09:53"
"63",2103,2106,2412,2483.9027027027,2804.25,2991,3,21,"IMAG0021.JPG","IMAG0021.JPG",3648,2736,"2019:12:07 07:09:53"
"64",1545,1551,1562.1,1649.64324324324,1571.25,2188.2,1,22,"IMAG0022.JPG","IMAG0022.JPG",3648,2736,"2019:12:07 09:09:52"
"65",1905.6,1908,2004.6,2104.45945945946,2323.8,2419.2,2,22,"IMAG0022.JPG","IMAG0022.JPG",3648,2736,"2019:12:07 09:09:52"
"66",2091,2091,2558.7,2492.02702702703,2825.25,2979,3,22,"IMAG0022.JPG","IMAG0022.JPG",3648,2736,"2019:12:07 09:09:52"
"67",1524,1542,1545.3,1545.29189189189,1551,1557.6,1,23,"IMAG0023.JPG","IMAG0023.JPG",3648,2736,"2019:12:07 11:09:51"
"68",1914,1919.4,2016.6,2213.70810810811,2595.6,2757,2,23,"IMAG0023.JPG","IMAG0023.JPG",3648,2736,"2019:12:07 11:09:51"
"69",2124.6,2127.3,2459.7,2556.22702702703,2845.05,3006,3,23,"IMAG0023.JPG","IMAG0023.JPG",3648,2736,"2019:12:07 11:09:51"
"70",1479,1482,1485,1611.57567567568,1584.15,2600.4,1,24,"IMAG0024.JPG","IMAG0024.JPG",3648,2736,"2019:12:07 13:09:51"
"71",2126.4,2187.6,2271.6,2278.68648648649,2325,2460,2,24,"IMAG0024.JPG","IMAG0024.JPG",3648,2736,"2019:12:07 13:09:51"
"72",2025,2307.15,2474.7,2504.04324324324,2889,3036,3,24,"IMAG0024.JPG","IMAG0024.JPG",3648,2736,"2019:12:07 13:09:51"
"73",1562.4,1565.55,1574.1,1705.31351351351,1662,2723.4,1,25,"IMAG0025.JPG","IMAG0025.JPG",3648,2736,"2019:12:07 15:09:52"
"74",1914,1920,1978.8,2024.74054054054,2043,2502,2,25,"IMAG0025.JPG","IMAG0025.JPG",3648,2736,"2019:12:07 15:09:52"
"75",2091,2094,2445.3,2544.51081081081,2799.15,3074.4,3,25,"IMAG0025.JPG","IMAG0025.JPG",3648,2736,"2019:12:07 15:09:52"
"76",981.6,1518.75,1530,1483.11081081081,1533,1542.6,1,26,"IMAG0026.JPG","IMAG0026.JPG",3648,2736,"2019:12:07 17:09:53"
"77",1707,1746,1908,2098.73513513514,2498.4,2511,2,26,"IMAG0026.JPG","IMAG0026.JPG",3648,2736,"2019:12:07 17:09:53"
"78",1495.8,1521,1554.3,1584.73783783784,1655.85,1709.4,3,26,"IMAG0026.JPG","IMAG0026.JPG",3648,2736,"2019:12:07 17:09:53"
"79",878.4,1290.6,1398,1352.63513513514,1428.9,1476,1,27,"IMAG0027.JPG","IMAG0027.JPG",3648,2736,"2019:12:07 19:09:53"
"80",1629,1749,2289,2111.62702702703,2391,2409,2,27,"IMAG0027.JPG","IMAG0027.JPG",3648,2736,"2019:12:07 19:09:53"
"81",1345.8,1372.95,1379.7,1379.87027027027,1397.1,1411.2,3,27,"IMAG0027.JPG","IMAG0027.JPG",3648,2736,"2019:12:07 19:09:53"
"82",1320,1452.45,1507.5,1491.18648648649,1553.1,1581,1,28,"IMAG0028.JPG","IMAG0028.JPG",3648,2736,"2019:12:07 21:09:54"
"83",1732.2,2020.2,2396.4,2240.87027027027,2497.2,2522.4,2,28,"IMAG0028.JPG","IMAG0028.JPG",3648,2736,"2019:12:07 21:09:54"
"84",1437,1456.8,1471.5,1469.68378378378,1488.9,1495.8,3,28,"IMAG0028.JPG","IMAG0028.JPG",3648,2736,"2019:12:07 21:09:54"
"85",990,1316.7,1381.5,1360.8,1434.15,1477.2,1,29,"IMAG0029.JPG","IMAG0029.JPG",3648,2736,"2019:12:07 23:09:53"
"86",1637.4,1776,2301,2140.96216216216,2421.6,2441.4,2,29,"IMAG0029.JPG","IMAG0029.JPG",3648,2736,"2019:12:07 23:09:53"
"87",1395,1423.2,1428,1428.91621621622,1439.1,1456.2,3,29,"IMAG0029.JPG","IMAG0029.JPG",3648,2736,"2019:12:07 23:09:53"
"88",1338,1454.1,1518.6,1490.3027027027,1534.8,1551,1,30,"IMAG0030.JPG","IMAG0030.JPG",3648,2736,"2019:12:08 01:09:53"
"89",1737,2043.6,2381.4,2267.15675675676,2485.2,2502.6,2,30,"IMAG0030.JPG","IMAG0030.JPG",3648,2736,"2019:12:08 01:09:53"
"90",1407,1425,1428,1430.54594594595,1438.8,1449.6,3,30,"IMAG0030.JPG","IMAG0030.JPG",3648,2736,"2019:12:08 01:09:53"
"91",1272,1430.7,1454.7,1447.36216216216,1479,1524.6,1,31,"IMAG0031.JPG","IMAG0031.JPG",3648,2736,"2019:12:08 03:09:53"
"92",1680,1950.6,2344.8,2201.77297297297,2460,2484.6,2,31,"IMAG0031.JPG","IMAG0031.JPG",3648,2736,"2019:12:08 03:09:53"
"93",1437,1445.55,1449,1450.63783783784,1452,1480.2,3,31,"IMAG0031.JPG","IMAG0031.JPG",3648,2736,"2019:12:08 03:09:53"
"94",859.2,1442.55,1466.4,1444.32972972973,1484.4,1530.6,1,32,"IMAG0032.JPG","IMAG0032.JPG",3648,2736,"2019:12:08 05:09:53"
"95",1530,1543.2,1828.2,1879.37837837838,2227.8,2298,2,32,"IMAG0032.JPG","IMAG0032.JPG",3648,2736,"2019:12:08 05:09:53"
"96",1452,1499.1,1533.6,1544.29459459459,1593.9,1629.6,3,32,"IMAG0032.JPG","IMAG0032.JPG",3648,2736,"2019:12:08 05:09:53"
"97",1246.8,1509,1515,1507.62972972973,1518,1523.4,1,33,"IMAG0033.JPG","IMAG0033.JPG",3648,2736,"2019:12:08 07:09:54"
"98",1872,1878,1884,1977.94054054054,2049,2346,2,33,"IMAG0033.JPG","IMAG0033.JPG",3648,2736,"2019:12:08 07:09:54"
"99",2085,2094,2398.8,2383.68648648649,2606.25,2955,3,33,"IMAG0033.JPG","IMAG0033.JPG",3648,2736,"2019:12:08 07:09:54"
"100",1497,1536.3,1542,1554.77837837838,1545,1899.6,1,34,"IMAG0034.JPG","IMAG0034.JPG",3648,2736,"2019:12:08 09:09:52"
"101",1908,1912.2,1914,1918.32972972973,1923,1938.6,2,34,"IMAG0034.JPG","IMAG0034.JPG",3648,2736,"2019:12:08 09:09:52"
"102",2115,2116.35,2586.9,2559.25135135135,2892.15,3126,3,34,"IMAG0034.JPG","IMAG0034.JPG",3648,2736,"2019:12:08 09:09:52"
"103",1559.4,1578.6,1615.2,1745.85405405405,1660.95,2708.4,1,35,"IMAG0035.JPG","IMAG0035.JPG",3648,2736,"2019:12:08 11:09:51"
"104",1904.4,1905,1908,2014.92972972973,1959,2511,2,35,"IMAG0035.JPG","IMAG0035.JPG",3648,2736,"2019:12:08 11:09:51"
"105",2103,2220.15,2566.5,2580.54324324324,2962.05,3111,3,35,"IMAG0035.JPG","IMAG0035.JPG",3648,2736,"2019:12:08 11:09:51"
"106",1545,1563,1584,1709.50540540541,1676.1,2701.8,1,36,"IMAG0036.JPG","IMAG0036.JPG",3648,2736,"2019:12:08 13:09:52"
