TIMESTAMP_1,TIMESTAMP_2,TIMESTAMP_3,TIMESTAMP_4,Ta_1_1_1,Pa_1_1_1,CO2Sig_1_1_1,H2OSig_1_1_1,RawDist_1_1_1,QualNR_1_1_1,TempCorDist_1_1_1,SnowDepth_1_1_1
yyyy,ddd,HH,MM,C,kPa,arb,arb,NA,NA,NA,NA
2018,341,15,00,-1.530314,72.94872,0.903504,0.8155739,2.783,179.8333,2.775192,0.4248073
2018,341,15,30,-2.262421,72.96905,0.9037616,0.8159816,2.785167,178.5,2.773608,0.4263921
2018,341,16,00,-3.155864,72.98211,0.9040645,0.8164579,2.788167,178.5,2.772012,0.4279879
2018,341,16,30,-4.045268,72.98959,0.9042292,0.8167205,2.790667,177.3333,2.769924,0.4300761
2018,341,17,00,-5.188583,72.99941,0.9044166,0.8170566,2.798,177.3333,2.771295,0.4287049
2018,341,17,30,-6.50618,73.0055,0.9044878,0.8172591,2.802333,178,2.768758,0.4312424
2018,341,18,00,-7.305979,73.0083,0.9043402,0.8171764,2.808,179.8333,2.770192,0.4298081
2018,341,18,30,-7.657455,73.00779,0.9042211,0.8170648,2.8105,180.5,2.770825,0.4291748
2018,341,19,00,-8.306961,73.00958,0.903703,0.8164514,2.815666,180.1667,2.77252,0.4274801
2018,341,19,30,-8.593185,73.00269,0.9035326,0.81635,2.815,184,2.770367,0.4296334
2018,341,20,00,-8.679454,73.00751,0.9037163,0.8165644,2.815333,183.3333,2.770243,0.4297571
2018,341,20,30,-8.486226,73.00684,0.9037673,0.8165551,2.813167,188,2.769122,0.4308781
2018,341,21,00,-8.111516,72.99683,0.9039469,0.8166625,2.811666,185.3333,2.769604,0.4303961
2018,341,21,30,-8.113622,72.99663,0.9039528,0.8166474,2.810833,184.1667,2.768772,0.431228
2018,341,22,00,-8.685847,73.01449,0.9038563,0.8166291,2.815333,188.8333,2.770207,0.4297926
2018,341,22,30,-9.996165,73.01146,0.8598156,0.7620665,2.822333,183,2.770207,0.4297932
2018,341,23,00,-9.256078,73.00414,0.8833857,0.7999616,2.817167,183.8333,2.769023,0.4309768
2018,341,23,30,-8.238042,73.00138,0.8772295,0.796288,2.813333,183.3333,2.770582,0.4294178
2018,342,00,00,-7.781103,72.98629,0.8789288,0.797152,2.809167,189.1667,2.768866,0.4311343
2018,342,00,30,-7.049261,72.96678,0.8951705,0.8101726,2.806333,181.8333,2.769884,0.4301158
2018,342,01,00,-6.659765,72.94898,0.9041112,0.8166531,2.804,184.6667,2.769606,0.4303939
2018,342,01,30,-6.608195,72.93979,0.9028522,0.8156977,2.803166,189,2.769051,0.430949
2018,342,02,00,-6.618078,72.93758,0.9041588,0.8166683,2.803666,188.3333,2.769493,0.4305064
2018,342,02,30,-6.555578,72.9407,0.9041865,0.8167245,2.803166,187.1667,2.769324,0.4306758
2018,342,03,00,-6.515396,72.94178,0.9041686,0.8167036,2.8045,184.3333,2.77085,0.4291499
2018,342,03,30,-6.701498,72.92815,0.904043,0.8165718,2.804167,183.8333,2.769554,0.4304459
2018,342,04,00,-7.021764,72.91593,0.9034417,0.8161128,2.806833,184,2.77052,0.4294796
2018,342,04,30,-7.676844,72.93565,0.9033332,0.8161612,2.8105,179,2.770724,0.429276
2018,342,05,00,-7.585693,72.94526,0.8910945,0.8051257,2.810333,178.3333,2.771035,0.4289646
2018,342,05,30,-6.950531,72.97738,0.8843616,0.7998214,2.807166,175.6667,2.771221,0.4287788
2018,342,06,00,-6.600149,72.97184,0.8951042,0.809468,2.805,193,2.770904,0.4290963
2018,342,06,30,-6.512192,72.97208,0.8816013,0.7997684,2.807833,195.5,2.77416,0.4258394
2018,342,07,00,-6.641561,73.00788,0.8950968,0.8094118,2.813,191.8333,2.778589,0.4214102
2018,342,07,30,-7.32015,73.02465,0.8736579,0.7913983,2.815666,189.6667,2.777681,0.4223192
2018,342,08,00,-7.486654,73.03737,0.8168815,0.7427002,2.815666,190.1667,2.77681,0.4231902
2018,342,08,30,-6.575953,73.01543,0.8137211,0.7399328,2.810833,190.1667,2.776792,0.4232082
2018,342,09,00,-5.32958,73.00793,0.8929352,0.8071447,2.8045,193.6667,2.777003,0.4229969
2018,342,09,30,-4.567123,73.02627,0.9037941,0.8162932,2.7995,190.1667,2.775996,0.4240035
2018,342,10,00,-3.719915,73.04661,0.9033113,0.8156991,2.789,201.6667,2.769941,0.4300588
2018,342,10,30,-2.997432,73.03417,0.9020009,0.8139029,2.7875,189.6667,2.772164,0.4278363
2018,342,11,00,-2.740265,73.01044,0.9030589,0.8153234,2.789,189.6667,2.774975,0.4250251
2018,342,11,30,-2.474152,72.99168,0.9031962,0.8152846,2.787833,184.8333,2.775178,0.4248216
2018,342,12,00,-2.243505,72.96463,0.9031513,0.8152339,2.786833,184.3333,2.775365,0.4246351
2018,342,12,30,-2.298528,72.93812,0.9031118,0.8152116,2.786166,186,2.774419,0.425581
2018,342,13,00,-2.240219,72.98087,0.9029901,0.8151126,2.785167,191.1667,2.773721,0.4262787
2018,342,13,30,-2.116094,72.97199,0.9029266,0.8151018,2.785666,185.3333,2.774855,0.425145
2018,342,14,00,-1.74913,72.99839,0.9028873,0.8150277,2.7845,189.3333,2.775569,0.4244312
2018,342,14,30,-2.489629,73.00478,0.903053,0.8151987,2.786667,191,2.773936,0.4260641
2018,342,15,00,-2.970408,73.00636,0.9034083,0.8157596,2.788667,192.6667,2.773462,0.4265377
2018,342,15,30,-3.26653,73.00979,0.9034798,0.8158852,2.789666,192.6667,2.772935,0.4270654
2018,342,16,00,-4.062073,73.03795,0.903695,0.8161655,2.793,192.6667,2.772154,0.4278459
2018,342,16,30,-4.766963,73.06719,0.9037513,0.816236,2.796,190.3333,2.771495,0.4285053
2018,342,17,00,-5.145584,73.07642,0.9038134,0.8163548,2.7975,193.1667,2.771025,0.4289751
2018,342,17,30,-5.627386,73.07705,0.9038497,0.8163868,2.799667,189,2.770677,0.429323
2018,342,18,00,-6.10465,73.07711,0.903924,0.8164865,2.801833,190.1667,2.770347,0.429653
2018,342,18,30,-6.244517,73.09599,0.9039719,0.8165441,2.802667,188.8333,2.770445,0.4295547
2018,342,19,00,-6.166514,73.10179,0.9039524,0.8164747,2.802667,187.8333,2.77085,0.4291499
2018,342,19,30,-6.098379,73.10218,0.9039366,0.8164454,2.802,186.1667,2.770544,0.4294554
2018,342,20,00,-6.387415,73.10262,0.9039195,0.8164958,2.803666,185.6667,2.770692,0.4293083
2018,342,20,30,-6.453455,73.12286,0.9039075,0.8164604,2.804167,183.8333,2.770843,0.4291571
2018,342,21,00,-6.537211,73.16874,0.9039946,0.816572,2.804667,184.5,2.770902,0.4290983
2018,342,21,30,-6.671392,73.19184,0.9039242,0.8165378,2.8055,190.3333,2.771027,0.4289727
2018,342,22,00,-7.328806,73.19064,0.9034644,0.8161504,2.808666,185,2.770731,0.4292693
2018,342,22,30,-7.690241,73.18363,0.9019238,0.8147101,2.8105,187,2.770654,0.4293461
2018,342,23,00,-8.089915,73.20251,0.8655271,0.783591,2.813,187.6667,2.77103,0.4289698
2018,342,23,30,-8.397685,73.23042,0.7863689,0.7166204,2.816,192,2.772374,0.4276256
2018,343,00,00,-8.131851,73.23543,0.7060871,0.6474714,2.814333,188.1667,2.772123,0.4278767
2018,343,00,30,-7.69692,73.24403,0.6761952,0.6236418,2.8125,182.8333,2.772591,0.427409
2018,343,01,00,-7.929901,73.24004,0.6450346,0.6027913,2.8145,180.1667,2.773344,0.4266555
2018,343,01,30,-8.068288,73.2457,0.5752101,0.5509959,2.814667,184.3333,2.772785,0.4272148
2018,343,02,00,-8.431605,73.25648,0.607093,0.5767558,2.816667,192.5,2.772853,0.4271471
2018,343,02,30,-8.529805,73.2774,0.4475503,0.4426125,2.8195,179.1667,2.775128,0.4248723
2018,343,03,00,-8.537379,73.28279,0.06480431,0.08962544,2.815333,192.1667,2.770987,0.429013
2018,343,03,30,-8.79747,73.26279,0.01727007,0.03546962,2.800833,245.5,2.755362,0.4446382
2018,343,04,00,-9.477544,73.23406,0.01687447,0.03504564,2.803,225.6667,2.753942,0.4460574
2018,343,04,30,-9.443563,73.22823,0.01554793,0.03301705,2.804333,202.8333,2.75543,0.4445699
2018,343,05,00,-9.342647,73.24825,0.01541013,0.03180423,2.806833,204.5,2.758414,0.4415859
2018,343,05,30,-9.525823,73.26807,0.01597035,0.03186464,2.812333,201.3333,2.762859,0.4371409
2018,343,06,00,-9.724721,73.29298,0.01414255,0.02905367,2.817,217.3333,2.7664,0.4336
2018,343,06,30,-9.819377,73.33098,0.007598228,0.01812292,2.822333,263,2.771138,0.4288621
2018,343,07,00,-10.41665,73.35499,0.007537937,0.01753582,2.829,229.8333,2.774532,0.425468
2018,343,07,30,-11.0935,73.38341,0.007225544,0.01661133,2.836,214.3333,2.777812,0.4221876
2018,343,08,00,-11.21167,73.41092,0.006944141,0.0156514,2.837667,193.8333,2.778816,0.4211843
2018,343,08,30,-10.06284,73.41428,0.006665015,0.01496362,2.833,197.3333,2.780324,0.4196755
2018,343,09,00,-9.078099,73.43526,0.006834264,0.01493649,2.826667,197.1667,2.779297,0.4207033
2018,343,09,30,-8.227702,73.46445,0.007771537,0.01580691,2.822333,200,2.779501,0.4204988
2018,343,10,00,-7.371389,73.48772,0.7538174,0.6827086,2.809667,291.5,2.77149,0.42851
2018,343,10,30,-6.973531,73.50026,0.9022365,0.8143633,2.8045,244.3333,2.768467,0.4315326
2018,343,11,00,-5.80982,73.48907,0.903223,0.8158123,2.794,221,2.764127,0.4358734
2018,343,11,30,-5.509379,73.48324,0.9031679,0.8155431,2.795666,197.1667,2.767329,0.4326711
2018,343,12,00,-4.888535,73.45113,0.9031208,0.8154791,2.791,191.8333,2.765911,0.4340889
2018,343,12,30,-4.009455,73.43421,0.9032238,0.8155374,2.784333,187.5,2.763822,0.4361779
2018,343,13,00,-4.034424,73.41838,0.903024,0.8152524,2.781667,190.1667,2.761047,0.4389525
2018,343,13,30,-3.522578,73.40876,0.9030249,0.8152444,2.779,191.1667,2.761022,0.4389782
2018,343,14,00,-3.575546,73.39127,0.9030046,0.8152325,2.777167,194.6667,2.75893,0.4410701
2018,343,14,30,-4.097315,73.40122,0.903272,0.8156075,2.780666,192.8333,2.759732,0.4402684
2018,343,15,00,-4.378291,73.42248,0.9034176,0.8158312,2.7805,192.8333,2.758126,0.4418741
2018,343,15,30,-4.781342,73.42735,0.9037282,0.816272,2.782,193.1667,2.757543,0.4424573
2018,343,16,00,-5.613886,73.43774,0.9040568,0.8167266,2.781667,195.1667,2.752932,0.4470679
2018,343,16,30,-6.556513,73.44801,0.9041877,0.8169539,2.789333,191,2.755652,0.4443474
2018,343,17,00,-7.905721,73.45657,0.9041798,0.8169987,2.795167,193.5,2.754416,0.4455833
2018,343,17,30,-8.77801,73.44598,0.9040835,0.8169519,2.798167,190,2.752838,0.4471619
